OptionSetName,Option,IsUserLocalized,LocalizedLabelLanguageCode,LocalizedLabel,GlobalOptionSetName,EntityName,RecordCreateDats,RecordCreateJobID,RecordUpdateDats,RecordUpdateJobID,IsUserLocalizedLabel
community,10,"",1033,GroupMe,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,11,"",1033,Kik,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,12,"",1033,Telegram,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,13,"",1033,Skype,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,14,"",1033,Slack,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,15,"",1033,WhatsApp,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,16,"",1033,Apple Messages For Business,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,17,"",1033,Google's Business Messages,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,3,"",1033,Line,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,4,"",1033,Wechat,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,1,"",1033,Facebook,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,2,"",1033,Twitter,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,0,"",1033,Other,socialprofile_community,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,0,"",1033,Low,activitypointer_deliveryprioritycode,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,1,"",1033,Normal,activitypointer_deliveryprioritycode,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,2,"",1033,High,activitypointer_deliveryprioritycode,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,1,"",1033,Yes,activitypointer_isregularactivity,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,0,"",1033,No,activitypointer_isregularactivity,activitypointer,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,1,"",1033,Business,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,2,"",1033,Family,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,3,"",1033,Social,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,4,"",1033,Sales,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,5,"",1033,Other,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,1000,"",1033,Stakeholder,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,1001,"",1033,Sales Team,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,1002,"",1033,Service,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,1003,"",1033,Transplant,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_category,2004,"",1033,Sales Team Contact,connectionrole_category,connection,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,5,"",1033,Cortana,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,6,"",1033,Direct Line,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,7,"",1033,Microsoft Teams,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,8,"",1033,Direct Line Speech,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,9,"",1033,Email,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,10,"",1033,GroupMe,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,11,"",1033,Kik,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,12,"",1033,Telegram,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,13,"",1033,Skype,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,14,"",1033,Slack,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,15,"",1033,WhatsApp,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,16,"",1033,Apple Messages For Business,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,17,"",1033,Google's Business Messages,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,3,"",1033,Line,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,4,"",1033,Wechat,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,1,"",1033,Facebook,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,2,"",1033,Twitter,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
community,0,"",1033,Other,socialprofile_community,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,0,"",1033,Low,activitypointer_deliveryprioritycode,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,1,"",1033,Normal,activitypointer_deliveryprioritycode,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
deliveryprioritycode,2,"",1033,High,activitypointer_deliveryprioritycode,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,1,"",1033,Yes,activitypointer_isregularactivity,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
isregularactivity,0,"",1033,No,activitypointer_isregularactivity,campaignresponse,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,1,"",1033,Business,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,2,"",1033,Family,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,3,"",1033,Social,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,4,"",1033,Sales,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,5,"",1033,Other,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,1000,"",1033,Stakeholder,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,1001,"",1033,Sales Team,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,1002,"",1033,Service,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,1003,"",1033,Transplant,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
category,2004,"",1033,Sales Team Contact,connectionrole_category,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
componentstate,0,"",1033,Published,componentstate,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
componentstate,1,"",1033,Unpublished,componentstate,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
componentstate,2,"",1033,Deleted,componentstate,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
componentstate,3,"",1033,Deleted Unpublished,componentstate,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
ismanaged,1,"",1033,Managed,ismanaged,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
ismanaged,0,"",1033,Unmanaged,ismanaged,connectionrole,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,1,"",1033,C-level,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,8,"",1033,CEO/Owner,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,3,"",1033,Director,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,4,"",1033,Manager,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,5,"",1033,Other,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,2,"",1033,Specialist,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,6,"",1033,Student/Intern,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_jobposition,7,"",1033,Vice President,dow_jobposition,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,6,"",1033,Affiliates/3rd Party,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,20,"",1033,Chat,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,21,"",1033,Direct Mail,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,2,"",1033,Distributor,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,22,"",1033,eMarket Places,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,10,"",1033,Email Marketing,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,9,"",1033,Other Events,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,23,"",1033,Paid Search,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,24,"",1033,Phone/Visit,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,25,"",1033,Seminar,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,11,"",1033,Social Media Organic,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,26,"",1033,Social Media Paid,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,17,"",1033,Tradeshow,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,7,"",1033,Website,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
dow_leadsourcetype,18,"",1033,Webinar,dow_source,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1025,"",1033,Arabic,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1069,"",1033,Basque - Basque,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1026,"",1033,Bulgarian - Bulgaria,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1027,"",1033,Catalan - Catalan,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,2052,"",1033,Chinese - China,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,3076,"",1033,Chinese - Hong Kong SAR,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1028,"",1033,Chinese - Traditional,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1050,"",1033,Croatian - Croatia,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1029,"",1033,Czech - Czech Republic,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1030,"",1033,Danish - Denmark,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1043,"",1033,Dutch - Netherlands,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1033,"",1033,English,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1061,"",1033,Estonian - Estonia,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1035,"",1033,Finnish - Finland,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1036,"",1033,French - France,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1110,"",1033,Galician - Spain,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1031,"",1033,German - Germany,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1032,"",1033,Greek - Greece,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1037,"",1033,Hebrew,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1081,"",1033,Hindi - India,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1038,"",1033,Hungarian - Hungary,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1057,"",1033,Indonesian - Indonesia,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1040,"",1033,Italian - Italy,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1041,"",1033,Japanese - Japan,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1087,"",1033,Kazakh - Kazakhstan,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1042,"",1033,Korean - Korea,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1062,"",1033,Latvian - Latvia,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1063,"",1033,Lithuanian - Lithuania,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1086,"",1033,Malay - Malaysia,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1044,"",1033,Norwegian (Bokmål) - Norway,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
mspp_userpreferredlcid,1045,"",1033,Polish - Poland,powerpagelanguages,contact,2024-11-01 09:48:11,GlobalOptionsetMetadata,2024-11-01 09:48:11,GlobalOptionsetMetadata,false
